movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,title_year,plot_keywords
Avatar ,Action|Adventure|Fantasy|Sci-Fi,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,2009,avatar|future|marine|native|paraplegic
Pirates of the Caribbean: At World's End ,Action|Adventure|Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,2007,goddess|marriage ceremony|marriage proposal|pirate|singapore
Spectre ,Action|Adventure|Thriller,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,2015,bomb|espionage|sequel|spy|terrorist
The Dark Knight Rises ,Action|Thriller,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,2012,deception|imprisonment|lawlessness|police officer|terrorist plot
Star Wars: Episode VII - The Force Awakens             ,Documentary,Doug Walker,Doug Walker,Rob Walker, , , 
John Carter ,Action|Adventure|Sci-Fi,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,2012,alien|american civil war|male nipple|mars|princess
Spider-Man 3 ,Action|Adventure|Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,2007,sandman|spider man|symbiote|venom|villain
Tangled ,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,2010,17th century|based on fairy tale|disney|flower|tower
Avengers: Age of Ultron ,Action|Adventure|Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,2015,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero
Harry Potter and the Half-Blood Prince ,Adventure|Family|Fantasy|Mystery,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,2009,blood|book|love|potion|professor
Batman v Superman: Dawn of Justice ,Action|Adventure|Sci-Fi,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,2016,based on comic book|batman|sequel to a reboot|superhero|superman
Superman Returns ,Action|Adventure|Sci-Fi,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,2006,crystal|epic|lex luthor|lois lane|return to earth
Quantum of Solace ,Action|Adventure,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,2008,action hero|attempted rape|bond girl|official james bond series|revenge
Pirates of the Caribbean: Dead Man's Chest ,Action|Adventure|Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,2006,box office hit|giant squid|heart|liar's dice|monster
The Lone Ranger ,Action|Adventure|Western,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,2013,horse|outlaw|texas|texas ranger|train
Man of Steel ,Action|Adventure|Fantasy|Sci-Fi,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,2013,based on comic book|british actor playing american character|final battle|origin of hero|reboot
The Chronicles of Narnia: Prince Caspian ,Action|Adventure|Family|Fantasy,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,2008,brother brother relationship|brother sister relationship|good versus evil|king|narnia
The Avengers ,Action|Adventure|Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,2012,alien invasion|assassin|battle|iron man|soldier
Pirates of the Caribbean: On Stranger Tides ,Action|Adventure|Fantasy,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,2011,blackbeard|captain|pirate|revenge|soldier
Men in Black 3 ,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,2012,alien|criminal|m.i.b.|maximum security prison|prison
The Hobbit: The Battle of the Five Armies ,Adventure|Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,2014,army|elf|hobbit|middle earth|orc
The Amazing Spider-Man ,Action|Adventure|Fantasy,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,2012,lizard|outcast|spider|spider man|teenager
Robin Hood ,Action|Adventure|Drama|History,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,2010,1190s|archer|england|king of england|robin hood
